status_o,status_sh,varieties_trad,varieties_high,bimas_y,bimas_no,size,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,price,goutput
1,0,1,0,0,1,0.857,20,150,50,0,140,85,85,825,855,1680,127.82,140,2150
1,0,1,0,0,1,1.114,33,260,75,0,150,90,90,425,663,1088,120.66,140,2789
1,0,1,0,0,1,0.486,20,200,60,0,140,90,90,676,308,984,129.82,140,1580
1,0,1,0,0,1,1.12,33,270,170,0,40,80,80,660,221,881,66.31,65,4300
1,0,1,0,0,1,0.457,27,200,150,1000,140,80,80,376,374,750,126.33,140,2000
1,0,1,0,0,1,0.277,15,125,75,0,140,95,96,270,450,720,127.41,140,1025
1,0,1,0,0,1,0.464,20,150,50,0,70,65,65,480,212,692,57.61,56,1496
0,0,1,0,1,0,0.56,14,100,75,500,40,78,80,1,677,677,46.67,55,2600
1,0,1,0,0,1,0.7,25,100,50,0,40,75,75,498,175,673,60,60,2500
1,0,1,0,0,0,0.571,13,125,75,0,76.92,70,70,145,520,665,65.52,65,1240
1,0,1,0,0,1,0.6,20,200,20,0,100,70,70,579,64,643,45.03,96,1100
1,0,0,0,0,0,0.5,15,75,75,0,65,70,70,305,331,636,65.14,65,1300
0,0,1,0,1,0,0.571,16,100,0,0,80,65,65,115,484,599,69.13,56,1650
1,0,1,0,0,1,0.429,25,65,65,0,150,90,95,433,138,571,122.17,140,1483
1,0,0,1,0,1,0.557,15,130,40,0,200,100,100,253,308,561,128.46,160,2395
1,0,1,0,0,1,0.455,20,150,50,500,40,80,80,200,359,559,54.5,60,1370
0,0,1,0,0,1,0.314,22,120,60,0,150,90,90,285,230,515,133.86,150,1638
1,0,1,0,0,1,0.286,7,95,30,0,40,80,80,75,435,510,61.04,50,1200
1,0,0,0,0,1,0.164,7,50,50,0,140,80,80,43,458,501,126.63,140,730
1,0,1,0,0,1,0.393,12,85,25,0,150,90,95,200,287,487,129,140,928
1,0,1,0,0,1,0.321,10,65,30,0,140,90,90,46,424,470,122.35,140,1000
1,0,0,1,0,1,0.429,15,80,20,0,140,95,95,252,212,464,139.44,140,1950
1,0,1,0,0,1,0.371,15,100,25,0,140,90,90,337,109,446,130.71,140,1500
1,0,1,0,0,1,0.357,12,50,20,360,40,70,70,250,196,446,46.05,55,2170
1,0,1,0,0,1,0.429,30,90,60,360,40,80,80,366,78,444,35.16,55,1333
1,0,1,0,0,1,0.322,6,70,30,0,60,80,80,330,114,444,52.09,60,1660
1,0,0,1,1,0,0.321,10,70,25,0,200,80,80,36,400,436,120.67,140,1300
1,0,0,0,0,1,0.464,15,100,45,0,140,90,90,210,220,430,151.43,140,1800
0,0,1,0,0,1,0.414,10,60,40,0,80,70,70,210,216,426,67.62,60,1000
0,0,1,0,0,1,0.229,26,70,40,0,85,70,70,66,356,422,67.27,70,870
1,0,0,1,0,1,0.429,15,60,20,0,160,100,100,252,162,414,139.44,160,1100
1,0,1,0,0,0,0.571,20,75,25,0,40,80,80,135,270,405,44.85,50,1240
1,0,0,0,1,0,0.314,15,70,30,0,120,90,90,112,291,403,123.75,140,1530
0,0,1,0,0,1,0.25,8,80,80,0,140,90,90,266,127,393,137.41,140,1050
1,0,1,0,0,1,0.214,7,40,40,360,40,80,80,284,104,388,41.61,55,700
1,0,1,0,0,1,0.4,12,150,50,0,150,90,90,322,63,385,137.58,140,1667
1,0,1,0,0,1,0.357,30,100,50,125,80,68,68,70,312,382,62.86,56,1010
1,0,1,0,0,0,0.49,25,200,100,500,42,70,70,123,246,369,55.2,50,1500
0,0,1,0,0,1,0.221,8,50,50,0,160,90,90,222,144,366,144.82,160,900
1,0,1,0,0,1,0.5,20,75,25,0,60,75,75,210,156,366,52.38,65,1800
1,0,1,0,0,1,0.286,20,100,50,0,150,100,100,179,184,363,123.46,140,1110
1,0,1,0,0,1,0.357,20,100,25,500,150,90,90,122,240,362,123.11,140,1444
1,0,1,0,0,1,0.214,12,30,30,0,150,100,100,238,122,360,126.05,160,780
1,0,1,0,0,1,0.714,20,150,75,0,80,70,70,296,58,354,58.92,66,2000
1,0,0,1,0,1,0.185,5,70,30,0,130,100,100,35,317,352,120,130,810
0,0,1,0,0,1,0.314,15,60,40,0,80,70,70,50,281,331,59,50,1232
0,0,1,0,0,1,0.23,13,40,15,900,40,80,80,186,138,324,59.68,50,1200
1,0,1,0,0,1,0.286,10,30,20,0,81,75,75,127,195,322,70.87,56,868
1,0,0,1,0,1,0.214,10,60,20,0,300,100,100,90,232,322,123.33,150,1200
1,0,1,0,0,1,0.355,15,31,24,0,80,75,75,156,161,317,51.28,80,420
1,0,1,0,0,1,0.114,4,40,19,0,150,80,100,126,188,314,125.08,140,455
1,0,1,0,0,1,0.171,6,40,20,0,140,90,90,16,292,308,120,140,500
1,0,1,0,0,1,0.286,8,50,20,0,150,100,100,132,173,305,132.12,150,700
1,0,1,0,0,0,0.42,15,125,75,500,40,80,80,142,160,302,55,55,975
0,0,1,0,0,1,0.186,10,75,25,0,150,100,100,106,196,302,130.19,150,784
1,0,1,0,0,1,0.56,15,75,35,0,40,80,80,216,85,301,41.74,50,1388
0,0,1,0,0,1,0.157,15,50,50,0,70,70,70,183,116,299,63.77,56,840
1,0,1,0,0,1,0.214,7,40,40,0,60,80,80,184,109,293,54.08,68,600
1,0,1,0,0,1,0.214,15,50,20,0,80,70,70,86,202,288,62.33,56,860
1,0,1,0,0,1,0.287,10,60,25,0,140,90,90,60,228,288,126.67,140,1000
1,0,1,0,0,1,0.465,13,62,18,0,80,70,75,69,212,281,45.65,90,574
1,0,1,0,0,1,0.3,10,50,20,0,100,70,70,154,126,280,56.82,90,520
1,0,0,1,0,1,0.086,3,15,10,0,150,100,100,32,243,275,120,150,364
1,0,0,0,0,1,0.321,10,75,30,0,160,90,90,10,260,270,120,160,1600
1,0,1,0,0,0,0.286,6,50,50,250,40,80,80,175,93,268,32.77,50,1000
1,0,1,0,0,1,0.286,10,100,50,0,80,70,70,119,146,265,69.75,56,1050
1,0,1,0,0,1,0.143,5,40,10,0,140,80,100,74,189,263,124.11,140,600
1,0,0,1,0,1,0.25,8,100,30,0,160,100,100,207,50,257,139.13,160,1300
0,0,1,0,0,1,0.143,7,30,20,0,100,70,70,105,152,257,51.43,80,490
0,0,1,0,0,1,0.206,10,70,30,0,40,72,72,126,127,253,51.72,50,700
1,0,1,0,0,1,0.114,4,25,25,0,140,100,100,4,244,248,152.5,160,500
1,0,1,0,0,1,0.193,8,50,25,0,160,90,90,137,110,247,145.62,160,840
1,0,0,0,0,1,0.2,6,60,30,0,140,100,100,80,165,245,140,140,1100
1,0,1,0,0,1,0.214,7,70,70,0,100,90,90,86,153,239,122.79,140,500
1,0,1,0,0,1,0.212,4,45,18,0,60,70,70,72,167,239,50,64,446
1,0,1,0,0,1,0.3,15,75,15,0,100,70,70,175,54,229,54.29,85,700
1,0,0,1,0,1,0.164,10,70,30,0,160,100,100,87,139,226,124.14,160,780
0,0,1,0,0,1,0.171,10,30,10,0,60,80,80,160,64,224,55,60,930
1,0,1,0,0,0,0.43,12,75,125,250,80,70,70,152,69,221,45.39,64,800
1,0,1,0,0,1,0.229,4,40,40,0,81,80,80,60,161,221,70.17,65,744
1,0,1,0,0,1,0.1,5,15,10,0,80,70,70,1,220,220,66.28,58,510
1,0,1,0,0,1,0.286,10,75,50,0,81,70,70,75,142,217,53.33,73,1457
1,0,1,0,0,1,0.196,10,15,10,0,40,85,85,1,217,217,57.14,50,616
0,0,1,0,0,1,0.286,9,50,20,0,100,70,70,108,107,215,54.63,100,348
1,0,1,0,0,1,0.143,5,50,15,0,40,80,80,10,204,214,56.67,55,600
1,0,0,1,0,1,0.106,3,20,15,0,200,100,100,16,195,211,150,160,330
1,0,1,0,0,1,0.21,9,70,50,250,40,78,80,75,130,205,54,50,640
1,0,1,0,0,1,0.214,8,60,40,0,140,100,100,30,174,204,121.67,140,700
1,0,0,0,0,1,0.121,4,30,15,0,150,90,90,26,175,201,139.23,160,400
1,0,1,0,0,1,0.28,20,70,40,0,70,70,70,111,88,199,60.18,56,800
1,0,1,0,0,1,0.143,4,35,20,0,60,80,80,12,184,196,50,60,630
1,0,1,0,0,1,0.214,7,32,28,0,80,70,70,45,150,195,40,80,310
1,0,1,0,0,1,0.143,6,30,10,0,100,100,100,76,117,193,136.32,160,533
1,0,1,0,0,1,0.279,6,48,39,0,40,80,80,58,133,191,59.31,55,596
1,0,1,0,0,0,0.214,6,35,25,0,80,70,70,54,137,191,66.41,56,550
1,0,1,0,0,1,0.213,10,40,20,0,80,72,72,159,31,190,47.17,80,380
1,0,1,0,0,1,0.143,10,30,20,0,60,80,80,146,42,188,35.62,60,440
1,0,1,0,0,1,0.121,4,35,25,0,150,100,100,48,140,188,128.33,140,512
1,0,0,1,0,1,0.114,2,30,20,0,150,100,110,21,163,184,124.29,150,600
1,0,1,0,0,1,0.15,5,30,20,0,140,90,90,1,183,183,120.5,150,350
1,0,1,0,0,1,0.143,5,40,20,0,150,95,100,75,107,182,130.67,140,284
1,0,1,0,0,0,0.34,10,60,20,0,60,80,80,27,152,179,59.26,64,685
1,0,1,0,0,1,0.286,10,60,40,0,100,70,70,81,97,178,53.09,80,440
1,0,1,0,0,1,0.179,5,30,30,50,50,70,70,45,133,178,62.22,60,570
1,0,1,0,0,1,0.357,10,50,30,0,40,80,80,47,130,177,53.06,55,992
0,0,1,0,1,0,0.455,20,50,20,0,60,78,78,1,177,177,45.5,60,1160
1,0,1,0,0,0,0.143,6,18,18,0,45,75,76,65,110,175,52.31,50,310
1,0,1,0,0,1,0.133,10,50,50,0,45,78,80,50,125,175,53.46,60,875
1,0,1,0,0,1,0.143,5,30,20,0,40,80,80,95,78,173,37.11,50,500
1,0,1,0,0,1,0.193,5,40,20,0,160,90,90,10,159,169,126,160,550
1,0,1,0,0,1,0.143,4,25,25,0,63,80,80,76,92,168,30.26,60,430
1,0,1,0,0,1,0.156,6,25,25,0,60,75,75,50,117,167,52,60,270
1,0,1,0,0,1,0.128,5,26,12,0,80,70,75,68,98,166,57.35,80,270
1,0,1,0,0,1,0.22,10,25,75,0,80,70,70,63,98,161,65.71,56,850
1,0,1,0,0,1,0.107,3,10,5,0,60,80,80,32,129,161,56.25,65,210
0,0,1,0,0,1,0.143,6,25,15,0,50,80,80,32,128,160,41.18,50,372
1,0,0,1,0,1,0.129,5,25,15,0,160,90,90,16,144,160,132.5,160,320
1,0,1,0,0,1,0.214,7,60,60,0,150,90,95,38,120,158,135.79,150,350
1,0,1,0,0,1,0.107,4,20,5,50,75,70,70,31,126,157,45.81,80,275
1,0,1,0,0,1,0.428,10,75,75,0,70,70,70,112,44,156,63.21,66,1300
1,0,1,0,0,1,0.143,3,70,20,0,80,70,75,35,121,156,51.43,80,279
1,0,1,0,0,0,0.143,3,25,25,0,60,80,80,64,90,154,38.13,60,400
1,0,1,0,0,1,0.143,5,30,15,0,200,100,100,16,138,154,150,140,434
1,0,0,1,0,1,0.071,3,20,5,0,300,100,100,24,128,152,125.5,160,300
1,0,0,1,0,1,0.071,3,27,13,0,150,85,85,33,118,151,127.27,150,250
1,0,1,0,0,1,0.143,10,23,36,0,80,70,70,93,56,149,60.75,80,250
1,0,1,0,0,1,0.14,5,25,15,0,100,70,70,63,84,147,51.59,80,250
1,0,1,0,0,0,0.143,6,35,25,150,40,80,80,64,82,146,50,52,434
0,0,1,0,0,0,0.143,6,30,20,0,40,80,80,45,99,144,54.47,55,450
1,0,1,0,0,1,0.071,4,25,15,0,140,80,80,91,52,143,117.69,140,360
1,0,1,0,0,1,0.098,5,20,10,0,40,80,80,27,115,142,31.03,50,325
1,0,1,0,0,1,0.214,16,70,30,180,40,80,80,56,85,141,50,60,930
0,0,1,0,0,0,0.213,7,46,29,250,70,75,75,38,103,141,51.32,56,580
1,0,1,0,0,1,0.143,5,25,10,0,140,100,100,1,141,141,129.35,140,550
1,0,1,0,0,1,0.143,5,25,10,0,140,100,100,1,141,141,120.5,160,550
1,0,1,0,0,1,0.406,8,60,20,0,60,82,82,109,29,138,38.53,60,930
1,0,1,0,0,1,0.1,2,30,30,0,80,70,70,81,53,134,49.51,80,186
1,0,1,0,0,1,0.071,3,5,6,0,80,75,75,1,134,134,66.28,58,195
0,0,1,0,0,1,0.086,8,50,25,0,40,80,80,68,62,130,31.43,50,378
1,0,1,0,0,1,0.1,9,10,8,0,85,70,70,65,65,130,43.08,85,160
0,0,1,0,0,1,0.091,5,30,30,0,60,75,75,57,73,130,49.12,60,310
0,0,1,0,0,1,0.1,5,15,4,0,83,70,70,31,99,130,59.35,85,230
1,0,1,0,0,1,0.057,4,20,17,0,74.5,70,70,26,104,130,56.15,85,158
1,0,1,0,0,1,0.071,2,17,8,0,140,90,90,40,89,129,128,140,300
0,0,1,0,0,0,0.14,10,25,50,0,100,70,70,39,89,128,58.97,66,450
1,0,1,0,0,0,0.142,5,25,25,0,80,70,70,14,112,126,70.57,56,500
1,0,1,0,0,1,0.04,3,12,8,0,100,70,70,14,112,126,42.86,80,120
1,0,1,0,0,1,0.14,5,15,15,0,60,70,70,1,126,126,45.5,60,230
1,0,1,0,0,1,0.079,3,25,10,0,175,100,100,28,94,122,128.57,160,300
0,0,1,0,0,1,0.164,6,8,7,0,40,80,80,34,85,119,44.44,55,700
1,0,1,0,0,1,0.143,5,32,10,0,75,70,70,42,76,118,59.52,80,280
1,0,1,0,0,0,0.071,5,15,10,0,60,80,80,1,118,118,45.5,60,164
1,0,1,0,0,1,0.143,4,20,5,0,70,70,70,6,110,116,56.67,56,500
1,0,0,1,0,1,0.074,5,40,10,0,160,100,100,1,111,111,120.5,160,150
1,0,1,0,0,1,0.07,2,20,10,0,85,75,75,29,81,110,57.76,85,150
1,0,1,0,0,1,0.084,6,20,10,0,40,80,80,1,110,110,46.67,50,300
0,0,1,0,0,0,0.071,2,15,7,0,40,80,80,5,102,107,38.57,50,250
0,0,1,0,0,0,0.071,2,15,7,0,60,80,80,5,102,107,56,65,180
1,0,1,0,0,1,0.086,4,1,2,0,80,70,70,1,105,105,48.5,70,185
1,0,1,0,0,1,0.126,5,19,19,0,80,75,75,1,104,104,48.5,80,225
1,0,1,0,0,1,0.1,7,20,10,0,80,70,70,14,89,103,62.86,56,320
0,0,1,0,0,1,0.143,3,20,10,0,97,70,70,1,103,103,66.28,65,372
1,0,1,0,0,1,0.171,7,30,20,0,73,70,70,38,61,99,42.11,81,248
1,0,1,0,0,1,0.143,6,15,15,0,65,75,75,1,98,98,66.28,65,224
0,0,1,0,0,1,0.086,3,4,3,0,60,80,80,1,95,95,45.5,60,350
1,0,1,0,0,1,0.057,3,20,5,0,150,100,100,26,68,94,129.23,150,200
0,0,1,0,0,0,0.071,3,15,10,0,60,80,80,29,64,93,55.17,65,250
1,0,1,0,0,1,0.143,6,30,20,0,50,70,70,24,67,91,63.33,65,320
1,0,1,0,0,1,0.085,2,6,4,0,100,70,70,59,31,90,45.76,80,130
1,0,1,0,0,1,0.112,5,15,10,0,40,72,72,1,90,90,56.67,50,450
1,0,1,0,0,1,0.071,3,4,4,0,80,70,70,46,43,89,49.13,81,132
1,0,1,0,0,1,0.071,3,20,5,0,150,100,100,22,67,89,145.45,150,240
1,0,1,0,0,1,0.1,3,8,4,0,74,72,72,19,68,87,46.84,80,162
0,0,1,0,0,1,0.043,3,13,12,0,60,80,80,15,71,86,53.33,60,207
1,0,1,0,0,0,0.07,7,30,10,0,60,80,80,32,52,84,55.63,60,250
1,0,1,0,0,1,0.043,1,5,5,0,60,80,80,1,84,84,45.5,60,200
1,0,1,0,0,1,0.043,3,15,9,0,80,70,70,1,82,82,48.5,81,124
0,0,1,0,0,1,0.071,3,12,8,0,60,80,80,16,64,80,56.25,60,186
1,0,1,0,0,0,0.057,3,13,12,0,60,80,80,37,42,79,59.46,60,200
1,0,1,0,0,1,0.07,2,25,5,0,80,70,70,1,76,76,66.28,56,250
1,0,1,0,0,1,0.071,4,7,7,0,80,75,75,1,76,76,48.5,80,100
1,0,0,1,0,1,0.071,2,15,5,0,200,100,100,1,75,75,135.5,150,200
1,0,1,0,0,1,0.093,4,35,10,0,160,100,100,34,40,74,132.06,160,238
1,0,1,0,0,1,0.036,1,5,2,0,65,70,70,1,70,70,48.5,80,95
1,0,1,0,0,1,0.07,4,10,2,0,105,72,72,1,69,69,45.5,60,130
1,0,1,0,0,1,0.036,2,8,7,0,150,90,90,39,29,68,135.38,150,200
1,0,1,0,0,1,0.1,3,15,10,0,60,80,80,28,39,67,38.57,60,186
1,0,1,0,0,1,0.143,6,40,20,0,60,80,80,14,52,66,38.57,60,620
1,0,1,0,0,0,0.036,3,5,5,0,50,80,80,45,19,64,43.33,65,100
1,0,1,0,0,0,0.143,6,35,35,0,80,70,70,28,35,63,52.86,56,420
1,0,1,0,0,1,0.071,3,15,8,0,100,75,75,16,46,62,47.5,85,210
1,0,0,1,0,1,0.036,2,6,5,0,200,100,100,1,62,62,120.5,150,100
1,0,1,0,0,1,0.07,3,15,10,0,60,80,80,1,61,61,45.5,60,250
1,0,1,0,0,1,0.043,3,15,10,0,50,80,80,1,60,60,45.5,60,150
1,0,1,0,0,1,0.071,3,15,5,0,80,75,75,24,34,58,52.5,85,110
1,0,1,0,0,1,0.056,3,15,10,0,60,75,75,1,57,57,45.5,60,240
1,0,1,0,0,1,0.036,2,10,5,0,160,100,100,28,12,40,131.43,160,98
1,0,1,0,0,1,0.014,2,5,3,0,60,80,80,1,28,28,45.5,60,262